회사명,감리대상연도,조치일,상장여부,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
(주)나노트로닉스,2008~2013.6.30.,2016-02-24,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)나인테크,2016~2017.9.30.,2019-06-19,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)누리플랜,2009~2016,2017-11-15,코스닥시장,0,0,0,1,1,1,1,1,1,1,1,0
(주)뉴아세아조인트,2008~1012,2018-02-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)대아상호저축은행,2012.6.30.,2016-12-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)대호에이엘,2012~2014.3.31.,2018-09-05,유가증권시장,0,0,0,0,0,1,1,1,0,0,0,0
(주)도암엔지니어링,2016~2017,2020-07-01,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)동림,2014~2016,2019-02-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)디알비동일,2015~2016,2019-01-09,유가증권시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)디오,2012~2016,2017-06-07,코스닥시장,0,0,0,1,1,1,1,1,0,0,0,0
(주)디지털대성,2014.12.31.~2016.3.31.,2016-10-12,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)로켓모바일,2011~2013.9.30,2016-06-15,코스닥시장,0,0,0,0,0,0,1,1,1,0,0,0
(주)리젠,2014.12.31.~2016.6.30.,2016-12-07,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)마제스타,2012~2017.1분기,2017-11-15,코스닥시장,0,0,1,1,1,1,1,1,0,0,0,0
(주)매일방송,2011~2016,2019-10-30,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)메지온,2014,2019-05-22,코스닥시장,0,0,0,0,0,1,0,0,0,0,0,0
(주)모뉴엘,2008~2013,2016-06-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)민앤지,2016~2017반기,2018-04-11,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)바른손,2016.4.1.~2017.6.31.,2018-08-22,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)바른테크놀로지,2011~2017.9.,2018-10-17,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
(주)바이오니아,2013~2015.9.30.,2016-03-09,코스닥시장,0,0,0,0,1,1,1,0,0,0,0,0
(주)부국엔지니어링,2011~2012년,2016-02-03,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)삼일,"2012년,2014~2015년",2017-07-19,코스닥시장,0,0,0,0,1,1,0,1,0,0,0,0
(주)상보,2011~2017.9.30.,2018-09-19,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
(주)서연,2009년~2012년,2017-07-19,유가증권시장,0,0,0,0,0,0,0,1,1,1,1,0
(주)서울상호저축은행,2011.7.1.~2012.6.30.,2016-05-18,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)서희건설,2009~2017.1분기,2017-11-15,코스닥시장,0,0,1,1,1,1,1,1,1,1,1,0
(주)성욱,2014~2017,2019-07-17,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)세원,2014~2015,2019-02-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)셀루메드,2015~2017,2019-11-13,코스닥시장,0,0,1,1,1,0,0,0,0,0,0,0
(주)스튜디오썸머(舊 (주)행남사),2016~2017.9.30.,2019-07-03,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)시노펙스,2016~2017,2019-09-04,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)신한,2008~2013,2018-01-24,유가증권시장,0,0,0,0,0,0,1,1,1,1,1,1
(주)씨아이테크,2014~2016.6.30.,2016-11-09,유가증권시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)씨에스,2014,2017-02-15,코스닥시장,0,0,0,0,0,1,0,0,0,0,0,0
(주)씨에스마린,2009~2012년,2016-02-03,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)씨에스에이코스믹,2013,2019-02-13,코스닥시장,0,0,0,0,0,0,1,0,0,0,0,0
(주)씨에스에이코스믹,2018.6.30.,2019-10-30,코스닥시장,0,1,0,0,0,0,0,0,0,0,0,0
(주)아난티,2010~2015,2019-12-09,코스닥시장,0,0,0,0,1,1,1,1,1,1,0,0
(주)아이피몬스터,2017,2019-09-25,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스에프씨,2016~2018.9.30.,2020-03-11,코스닥시장,0,1,1,1,0,0,0,0,0,0,0,0
(주)에스엔드케이월드코리아,2009~2014,2020-02-26,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스엘에스바이오,2016,2019-11-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)에스엠코어,2016.3.31.,2017-09-13,코스닥시장,0,0,0,1,0,0,0,0,0,0,0,0
(주)에스제이엠,2012~2016.9.30.,2019-03-13,유가증권시장,0,0,0,1,1,1,1,1,0,0,0,0
(주)에스제이엠홀딩스,2012~2016.9.30.,2019-03-13,유가증권시장,0,0,0,1,1,1,1,1,0,0,0,0
(주)에스제이케이,2013~2014,2020-02-12,코스닥시장,0,0,0,0,0,1,1,0,0,0,0,0
(주)에이모션,2013.12.31.~2014.3.31.,2016-12-07,코스닥시장,0,0,0,0,0,1,1,0,0,0,0,0
(주)에이비비코리아,2011~2016,2019-02-27,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)엘아이에스,2012~2015,2018-05-09,코스닥시장,0,0,0,0,1,1,1,1,0,0,0,0
(주)엘앤에프,2011~2015.9.30,2016-12-21,코스닥시장,0,0,0,0,1,1,1,1,1,0,0,0
(주)엘엠에스,2011~2016,2020-01-08,코스닥시장,0,0,0,1,1,1,1,1,1,0,0,0
(주)엠제이비,2014,2017-02-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)엠젠플러스,2011~2017,2019-12-09,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
(주)오리엔탈정공,2015~2016.9.30.,2018-04-25,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)와이오엠,2014.6.30.~2016,2018-01-10,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)우리기술,2015~2016,2019-06-19,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)웅진,2013~2017,2018-09-19,유가증권시장,0,0,1,1,1,1,1,0,0,0,0,0
(주)위닉스,2016~2017.9.30.,2019-07-17,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)유아이헬리콥터,2015,2018-03-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)이노와이즈,"2016, 2017",2020-05-06,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
(주)이앤코리아,2017,2020-09-16,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)일호주택,2016~2017,2019-12-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)자형매니지먼트,2015~2016,2019-01-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)정임건설,2013,2019-08-21,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)제이에스피브이,2014~2017,2018-12-12,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)참저축은행,2014.7.1.~2015.6.30.,2019-02-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)청호컴넷,2015년~2016년 3분기,2017-11-29,유가증권시장,0,0,0,1,1,0,0,0,0,0,0,0
(주)카스,2010~2013,2019-03-13,코스닥시장,0,0,0,0,0,0,1,1,1,1,0,0
(주)카테아,2015 ~ 2017.6.30.,2018-03-28,코스닥시장,0,0,1,1,1,0,0,0,0,0,0,0
(주)케이엔씨글로벌,2013,2016-11-09,코스닥시장,0,0,0,0,0,0,1,0,0,0,0,0
(주)케이지모빌리언스,2011~2015,2017-12-13,코스닥시장,0,0,0,0,1,1,1,1,1,0,0,0
(주)케이지이니시스,2014~2015,2017-12-13,코스닥시장,0,0,0,0,1,1,0,0,0,0,0,0
(주)케이티앤지,2011~2018,2020-07-15,유가증권시장,0,1,1,1,1,1,1,1,1,0,0,0
(주)케이티이엔지코어,2008~2012,2018-04-25,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)코리드,"2010~2012, 2014~2016.6.30",2016-11-09,코스닥시장,0,0,0,1,1,1,0,1,1,1,0,0
(주)트레이스,2016,2020-01-22,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)티피씨메카트로닉스,2014~2016.9.30.,2019-10-30,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
(주)파이오링크,2010~2014,2019-02-27,코스닥시장,0,0,0,0,0,1,1,1,1,1,0,0
(주)페트로비씨,2013,2016-09-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)포스코건설,2015~2016.9.30.,2020-02-26,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)한국비엔씨,2016,2018-05-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)한일진공,2016~2018.6.30.,2020-01-22,코스닥시장,0,1,1,1,0,0,0,0,0,0,0,0
(주)한진중공업,2014~2015,2018-04-25,유가증권시장,0,0,0,0,1,1,0,0,0,0,0,0
(주)한진피앤씨,2012~2013,2017-06-21,코스닥시장,0,0,0,0,0,0,1,1,0,0,0,0
(주)한화갤러리아,2004~2006,2016-12-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)한화건설,2005~2006,2016-12-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
(주)효성,2013년~2016.3분기,2017-07-19,유가증권시장,0,0,0,1,1,1,1,0,0,0,0,0
(주)휴벡셀,2016~2017,2019-02-27,기타,0,0,0,0,0,0,0,0,0,0,0,0
KD건설(주),2009~2010,2016-12-21,코스닥시장,0,0,0,0,0,0,0,0,0,1,1,0
KG케미칼(주),2015,2017-12-13,유가증권시장,0,0,0,0,1,0,0,0,0,0,0,0
SBC벤드(주),2009~2011,2016-05-18,기타,0,0,0,0,0,0,0,0,0,0,0,0
STX조선해양(주),2008~2012년,2016-02-24,기타,0,0,0,0,0,0,0,0,0,0,0,0
경남제약(주),2008~2013,2018-02-28,코스닥시장,0,0,0,0,1,0,0,0,0,0,0,0
계룡건설산업㈜,2010~2013.9월,2016-02-03,유가증권시장,0,0,0,0,0,0,1,1,1,1,0,0
골든브릿지저축은행,2013.6.30~2013.12.31.,2016-07-13,기타,0,0,0,0,0,0,0,0,0,0,0,0
금오하이텍,2013~2015,2017-05-24,기타,0,0,0,0,0,0,0,0,0,0,0,0
네덱(주),2016~2017,2020-07-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
뉴프라이드코퍼레이션,2018,2020-03-11,코스닥시장,0,1,0,0,0,0,0,0,0,0,0,0
대우조선해양(주),2008년~2016.1분기,2017-02-23,유가증권시장,0,0,0,1,1,1,1,1,1,1,1,1
대원상호저축은행(주),2012.6.30.,2016-12-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
도이치모터스(주),2016~2017.9.30.,2019-06-05,코스닥시장,0,0,1,1,0,0,0,0,0,0,0,0
동명기술공단종합건축사사무소,2010~2012,2016-10-12,기타,0,0,0,0,0,0,0,0,0,0,0,0
동양물산기업(주),2015~2016.3분기,2018-01-10,유가증권시장,0,0,0,1,1,0,0,0,0,0,0,0
롯데칠성음료(주),2017.1.1.~2017.6.30.,2018-09-05,유가증권시장,0,0,1,0,0,0,0,0,0,0,0,0
마이애셋자산운용(주),"2014.3.31., 2014.12.31.",2016-11-09,기타,0,0,0,0,0,0,0,0,0,0,0,0
미래에셋생명보험(주)(舊 피씨에이생명보험(주)),2011~2016,2019-10-16,유가증권시장,0,0,0,1,1,1,1,1,1,0,0,0
비피솔루션,2012~2013,2016-09-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
삼성바이오로직스(주),2012~2015,2018-07-12,유가증권시장,0,0,0,0,1,1,1,1,0,0,0,0
삼성바이오로직스(주),2012~2018.6.30.,2018-11-14,유가증권시장,0,1,1,1,1,1,1,1,0,0,0,0
삼영이엔씨(주),2010~2016,2019-09-25,코스닥시장,0,0,0,1,1,1,1,1,1,1,0,0
세신버팔로(주),2014~2015,2018-01-10,기타,0,0,0,0,0,0,0,0,0,0,0,0
세종기업(주),2011~2012,2016-10-12,기타,0,0,0,0,0,0,0,0,0,0,0,0
승화프리텍,2013~2014,2016-12-21,기타,0,0,0,0,0,0,0,0,0,0,0,0
신화실업(주),2009~2018,2020-01-08,유가증권시장,0,1,1,1,1,1,1,1,1,1,1,0
아래스(주)(舊 (주)에이앤티앤),"2017, 2018",2020-07-15,코스닥시장,0,1,1,0,0,0,0,0,0,0,0,0
에스엘㈜,2013~2018,2020-05-20,유가증권시장,0,1,1,1,1,1,1,0,0,0,0,0
에코바이오홀딩스(주),2015~2017,2019-12-11,코스닥시장,0,0,1,1,1,0,0,0,0,0,0,0
오리엔트전자,2010~2017.9.30.,2019-06-19,기타,0,0,0,0,0,0,0,0,0,0,0,0
오앤션(주),2013,2016-09-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
유미개발(주),2012~2014,2016-09-07,기타,0,0,0,0,0,0,0,0,0,0,0,0
유안타증권,2010.3.31~2013.6.30.,2016-07-13,유가증권시장,0,0,0,0,0,0,1,1,1,1,0,0
유진기업(주),2014~2016.9.30.,2018-11-28,코스닥시장,0,0,0,1,1,1,0,0,0,0,0,0
이니텍㈜,2015~2016,2020-04-22,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
이엘케이(주),2015~2016.9.30.,2018-09-19,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
이지시스템,2010~2016.9.,2018-10-17,기타,0,0,0,0,0,0,0,0,0,0,0,0
인천저축은행,2013.6.30.,2017-11-01,기타,0,0,0,0,0,0,0,0,0,0,0,0
잘만테크(주),2011~2014.6.30.,2016-06-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
제이더블유중외제약(주),2014~2016,2019-01-23,유가증권시장,0,0,0,1,1,1,0,0,0,0,0,0
조선내화,2012~2013,2017-05-24,유가증권시장,0,0,0,0,0,0,1,1,0,0,0,0
㈜라온디앤씨,2013년,2016-02-03,기타,0,0,0,0,0,0,0,0,0,0,0,0
㈜에이치비테크놀러지,2008~2011,2020-05-06,코스닥시장,0,0,0,0,0,0,0,0,1,1,1,1
㈜에프티이앤이,2011~2016,2020-04-22,기타,0,0,0,0,0,0,0,0,0,0,0,0
㈜엘시티피에프브이,2010~2017,2020-05-06,기타,0,0,0,0,0,0,0,0,0,0,0,0
㈜이수화학,2011~2017,2020-04-22,유가증권시장,0,0,1,1,1,1,1,1,1,0,0,0
㈜크레아,2010~2014,2020-05-20,기타,0,0,0,0,0,0,0,0,0,0,0,0
지엠알머티리얼즈,2011년~2017.반기말,2017-11-01,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
참엔지니어링(주),2009~2014,2018-12-12,유가증권시장,0,0,0,0,0,1,1,1,1,1,1,0
코스모신소재(주),2012~2014년,2016-03-09,유가증권시장,0,0,0,0,0,1,1,1,0,0,0,0
코스모화학(주),2010~2017,2019-02-27,유가증권시장,0,0,1,1,1,1,1,1,1,1,0,0
퍼시픽바이오(주),2011~2016.9.30.,2017-04-12,코스닥시장,0,0,0,1,1,1,1,1,1,0,0,0
프리젠,2013년~2017.1분기말,2017-11-01,기타,0,0,0,0,0,0,0,0,0,0,0,0
한국전력기술(주),2015~2017,2020-01-22,유가증권시장,0,0,1,1,1,0,0,0,0,0,0,0
한국전파기지국(주),2011~2017반기,2018-04-11,코스닥시장,0,0,1,1,1,1,1,1,1,0,0,0
한생산업(주),2012,2016-06-15,기타,0,0,0,0,0,0,0,0,0,0,0,0
한솔아트원제지,2009.12.31.~2014.3.31.,2016-09-28,유가증권시장,0,0,0,0,0,1,1,1,1,1,1,0
한솔홀딩스(주),2010년~2013년,2017-07-19,유가증권시장,0,0,0,0,0,0,1,1,1,1,0,0
한신공영(주),2009~2013,2016-11-09,유가증권시장,0,0,0,0,0,0,1,1,1,1,1,0
한화첨단소재(주),2004~2005,2016-12-28,기타,0,0,0,0,0,0,0,0,0,0,0,0
한화호텔앤드리조트(주),2004~2006,2016-12-21,기타,0,0,0,0,0,0,0,0,0,0,0,0
현대건설(주),"2013, 2014.3분기, 2014~2016",2017-11-15,유가증권시장,0,0,0,1,1,1,1,0,0,0,0,0
휴림로봇(주),2015반기~3분기 및 2017~2018 1분기,2020-01-08,코스닥시장,0,1,1,0,1,0,0,0,0,0,0,0
㈜지와이커머스,2017~2018.3분기,2020-10-14,코스닥시장,0,1,1,0,0,0,0,0,0,0,0,0
㈜이엠앤아이,2017~2018.3분기,2020-10-14,코스닥시장,0,1,1,0,0,0,0,0,0,0,0,0
㈜미래SCI,"2015, 2016",2020-10-14,코스닥시장,0,0,0,1,1,0,0,0,0,0,0,0
